name,rating,reviews,industry,location
Niva Bupa Health Insurance Company,4.0,(3.3k),Insurance,New Delhi +323 other locations
Conduent,3.4,(3.3k),BPO,Bengaluru +36 other locations
InterGlobe Aviation,3.4,(3.3k),Aviation,New Delhi +104 other locations
Indian Air Force,4.6,(3.3k),Defence & Aerospace,New Delhi +134 other locations
Tata Technologies,3.4,(3.3k),Automobile,Pune +58 other locations
Tata AIG,4.0,(3.3k),Insurance,Mumbai +262 other locations
GeBBS Healthcare Solutions,3.8,(3.3k),BPO,Mumbai +26 other locations
Canara HSBC Life Insurance,4.1,(3.3k),Insurance,Gurugram +367 other locations
Sagility,3.9,(3.2k),BPO,Bengaluru +28 other locations
UPL,4.1,(3.2k),Agro Chemicals,Ankleshwar +185 other locations
Tata AutoComp Systems,3.7,(3.2k),Auto Components,Pune +79 other locations
PepsiCo,4.0,(3.2k),Food Processing,Hyderabad +280 other locations
Jindal Stainless,4.2,(3.2k),Iron & Steel,Jajpur +77 other locations
Allcargo Logistics,3.8,(3.2k),Logistics,Mumbai +175 other locations
Max Healthcare,4.0,(3.2k),Healthcare,New Delhi +78 other locations
Mankind Pharma,3.8,(3.2k),Pharma,New Delhi +247 other locations
Titan Company,4.2,(3.2k),Retail,Bengaluru +186 other locations
Amazon Transportation Services,4.2,(3.2k),Logistics,Hyderabad +224 other locations
Dilip Buildcon,3.9,(3.2k),Engineering & Construction,Bhopal +230 other locations
Societe Generale Global Solution Centre,3.6,(3.2k),IT Services & Consulting,Bengaluru +23 other locations
S&P Global,4.0,(3.1k),Analytics & KPO,Hyderabad +48 other locations
Walmart,3.5,(3.1k),Retail,Bengaluru +91 other locations
Varroc Group,3.6,(3.1k),Auto Components,Pune +63 other locations
MSN Laboratories,3.6,(3.1k),Pharma,Hyderabad +107 other locations
Marpu Foundation,4.9,(3.1k),Non-Profit,Hyderabad +61 other locations
Quest Global,3.5,(3.1k),IT Services & Consulting,Bengaluru +49 other locations
Afcons Infrastructure,4.2,(3.1k),Engineering & Construction,Mumbai +124 other locations
Ola Electric Mobility,3.3,(3.1k),Automobile,Bengaluru +443 other locations
Torrent Pharmaceuticals,4.0,(3.1k),Pharma,Ahmedabad +132 other locations
ESAF Small Finance Bank,3.6,(3.1k),Banking,Thrissur +459 other locations
IDFC FIRST Bharat,4.2,(3.1k),Financial Services,Chennai +445 other locations
DS Group,4.0,(3k),FMCG,Noida +289 other locations
HDFC Sales,3.9,(3k),Financial Services,Mumbai +352 other locations
Tata Elxsi,3.4,(3k),IT Services & Consulting,Bengaluru +31 other locations
Square Yards,3.5,(3k),Internet,Gurugram +51 other locations
Future Group,4.2,(3k),Retail,Mumbai +207 other locations
Bharat Financial Inclusion,3.7,(3k),Financial Services,Hyderabad +512 other locations
Zensar Technologies,3.7,(3k),IT Services & Consulting,Pune +29 other locations
Tata Electronics,3.9,(3k),Semiconductors,Hosur +59 other locations
CMS IT Services,3.1,(3k),IT Services & Consulting,Mumbai +153 other locations
Suzlon Group,4.0,(3k),Power,Pune +146 other locations
Indus Towers,3.6,(3k),Telecom,Gurugram +244 other locations
I Process Services,3.8,(3k),Recruitment,Mumbai +405 other locations
Fujitsu,3.8,(3k),IT Services & Consulting,Pune +41 other locations
ACC,3.9,(3k),Building Material,Mumbai +277 other locations
Eternal Limited,3.6,(3k),Internet,Gurugram +220 other locations
Zepto,3.5,(3k),Internet,Bengaluru +108 other locations
VVDN Technologies,3.6,(3k),IT Services & Consulting,Gurugram +51 other locations
IKS Health,3.6,(2.9k),BPO,Mumbai +32 other locations
Nokia,4.0,(2.9k),Telecom,Bengaluru +165 other locations
Shoppers Stop,4.0,(2.9k),Retail,Mumbai +85 other locations
Yazaki,3.9,(2.9k),Auto Components,Pune +94 other locations
Shree Cement,3.8,(2.9k),Building Material,Beawar +264 other locations
Apollo Tyres,4.0,(2.9k),Auto Components,Chennai +179 other locations
Fiserv,2.8,(2.9k),FinTech,Pune +33 other locations
Britannia,4.0,(2.8k),Hospitality,Pune +306 other locations
Landmark Group,3.8,(2.8k),Retail,Bengaluru +175 other locations
Dalmia Bharat Cement,3.9,(2.8k),Building Material,Guwahati +255 other locations
SRF,4.1,(2.8k),Chemicals,Bharuch +67 other locations
Kansai Nerolac Paints,3.8,(2.8k),Chemicals,Mumbai +263 other locations
Exl India,3.5,(2.8k),Logistics,New Delhi +45 other locations
Blue Dart Express Ltd,3.9,(2.8k),Logistics,Mumbai +279 other locations
Nestlé,3.8,(2.8k),FMCG,Gurugram +283 other locations
UnitedHealth,4.0,(2.8k),Healthcare,Hyderabad +18 other locations
ZS,3.1,(2.8k),Management Consulting,Pune +17 other locations
Exide Industries,3.4,(2.8k),Auto Components,Kolkata +198 other locations
Physicswallah,3.6,(2.8k),EdTech,Noida +142 other locations
Shell,3.9,(2.8k),Oil & Gas,Bengaluru +91 other locations
Star Health & Allied Insurance,3.5,(2.8k),Insurance,Chennai +336 other locations
Foxconn,3.8,(2.7k),Electronics Manufacturing,Chennai +64 other locations
KPMG Global Services,3.4,(2.7k),Management Consulting,Bengaluru +38 other locations
